#DETEKTREF,INT_BEGIN,Q_KFZ,V_KFZ,Q_PKW,V_PKW,Q_LKW,V_LKW
1000008316,20:40:00,258,70,258,70,0,0
1000008316,20:50:00,198,57,192,57,6,5
1000008316,21:00:00,234,76,228,75,6,11
1000008316,21:10:00,228,60,228,60,0,0
1000008316,21:20:00,204,65,198,64,6,8
1000008316,21:30:00,186,69,186,69,0,0
1000008316,21:40:00,264,73,264,73,0,0
1000008316,21:50:00,210,66,204,66,6,8
1000008316,22:00:00,126,59,126,59,0,0
1000008316,22:10:00,246,69,246,69,0,0
1000008316,22:20:00,228,78,228,78,0,0
1000008316,22:30:00,126,59,126,59,0,0
1000008316,22:40:00,174,70,168,70,6,5
1000008316,22:50:00,144,78,144,78,0,0
1000008316,23:00:00,102,74,102,74,0,0
1000008316,23:10:00,96,68,96,68,0,0
1000008316,23:20:00,90,61,90,61,0,0
1000008316,23:30:00,66,68,60,68,6,8
1000008316,23:40:00,66,47,66,47,0,0
1000008316,23:50:00,72,57,72,57,0,0
1000008320,00:00:00,66,42,60,43,6,7
1000008320,00:10:00,114,72,108,66,6,6
1000008320,00:20:00,66,45,54,37,12,14
1000008320,00:30:00,42,41,36,39,6,8
1000008320,00:40:00,42,57,42,57,0,0
1000008320,00:50:00,18,25,18,25,0,0
1000008320,01:00:00,42,38,30,29,12,19
1000008320,01:10:00,24,12,24,12,0,0
1000008320,01:20:00,18,22,18,22,0,0
1000008320,01:30:00,30,34,24,33,6,8
1000008320,01:40:00,66,44,60,44,6,9
1000008320,01:50:00,60,45,60,45,0,0
1000008320,02:00:00,30,19,24,19,6,7
1000008320,02:10:00,12,13,6,4,6,9
1000008320,02:20:00,24,23,24,23,0,0
1000008320,02:30:00,72,60,60,47,12,13
1000008320,02:40:00,18,22,12,16,6,6
1000008320,02:50:00,42,50,36,43,6,6
1000008320,03:00:00,12,14,12,14,0,0
1000008320,03:10:00,12,16,12,16,0,0
1000008320,03:20:00,36,40,36,40,0,0
1000008320,03:30:00,42,40,18,24,24,27
1000008320,03:40:00,30,46,30,46,0,0
1000008320,03:50:00,30,33,18,26,12,15
1000008320,04:00:00,54,60,36,46,18,22
1000008320,04:10:00,48,55,48,55,0,0
1000008320,04:20:00,30,38,30,38,0,0
1000008320,04:30:00,66,64,54,58,12,14
1000008320,04:40:00,48,56,36,49,12,7
1000008320,04:50:00,48,43,42,42,6,10
1000008320,05:00:00,90,71,84,71,6,10
1000008320,05:10:00,144,62,114,54,30,30
1000008320,05:20:00,240,81,234,81,6,8
1000008320,05:30:00,294,74,276,74,18,13
1000008320,05:40:00,258,81,234,81,24,18
1000008320,05:50:00,270,72,246,73,24,28
1000008320,06:00:00,384,73,360,72,24,29
1000008320,06:10:00,504,79,468,78,36,39
1000008320,06:20:00,570,76,522,76,48,42
1000008320,06:30:00,642,74,612,74,30,23
1000008320,06:40:00,714,67,618,68,96,49
1000008320,06:50:00,690,62,660,63,30,26
1000008320,07:00:00,732,63,672,64,60,31
1000008320,07:10:00,906,57,840,57,66,40
1000008320,07:20:00,942,52,882,53,60,36
1000008320,07:30:00,996,55,960,55,36,27
1000008320,07:40:00,1008,56,930,57,78,37
1000008320,07:50:00,864,61,780,62,84,44
1000008320,08:00:00,834,58,774,58,60,28
1000008320,08:10:00,864,62,792,62,72,42
1000008320,08:20:00,678,60,594,61,84,42
1000008320,08:30:00,684,54,636,54,48,27
1000008320,08:40:00,570,54,516,54,54,42
1000008320,08:50:00,576,55,516,55,60,27
1000008320,09:00:00,558,59,504,59,54,42
1000008320,09:10:00,624,60,546,60,78,48
1000008320,09:20:00,636,51,558,52,78,42
1000008320,09:30:00,594,57,552,58,42,38
1000008320,09:40:00,576,58,480,59,96,37
1000008320,09:50:00,582,58,558,58,24,12
1000008320,10:00:00,570,62,552,62,18,14
1000008320,10:10:00,510,58,474,58,36,24
1000008320,10:20:00,468,60,420,59,48,33
1000008320,10:30:00,468,55,420,56,48,19
1000008320,10:40:00,498,63,438,64,60,41
1000008320,10:50:00,468,62,438,64,30,21
1000008320,11:00:00,444,58,432,58,12,10
1000008320,11:10:00,492,58,414,59,78,41
1000008320,11:20:00,438,53,366,54,72,35
1000008320,11:30:00,396,66,348,66,48,35
1000008320,11:40:00,552,55,492,57,60,26
1000008320,11:50:00,402,52,360,52,42,27
1000008320,12:00:00,480,51,444,51,36,13
1000008320,12:10:00,462,58,414,58,48,38
1000008320,12:20:00,474,57,426,57,48,31
1000008320,12:30:00,408,60,372,60,36,26
